"","Demand_Shocks","Supply_Shocks","Risk_Shocks","NSE.AUTO","NSE.BANK","NSE.ENERGY","NSE.FIN","NSE.FMCG","NSE.IT","NSE.MED","NSE.MET","NSE.PHARMA","FROM others"
"Demand_Shocks","73.48","19.42"," 0.92"," 0.70"," 0.58"," 0.81"," 0.57"," 0.69"," 0.73"," 0.67"," 0.81"," 0.61","26.52"
"Supply_Shocks","18.98","71.36"," 3.18"," 0.77"," 0.56"," 0.72"," 0.46"," 1.09"," 0.89"," 0.48"," 0.92"," 0.58","28.64"
"Risk_Shocks"," 0.93"," 3.73","88.83"," 0.75"," 0.80"," 0.78"," 0.79"," 0.78"," 0.58"," 0.63"," 0.83"," 0.57","11.17"
"NSE.AUTO"," 0.61"," 0.60"," 0.28","27.06","12.10","10.12","12.47"," 7.35"," 4.49"," 8.05","11.23"," 5.62","72.94"
"NSE.BANK"," 0.68"," 0.50"," 0.35","11.03","24.98"," 9.76","23.13"," 5.63"," 3.78"," 6.42"," 9.76"," 3.96","75.02"
"NSE.ENERGY"," 0.94"," 0.71"," 0.37","10.75","11.29","29.23","11.52"," 5.94"," 4.12"," 7.26","12.51"," 5.35","70.77"
"NSE.FIN"," 0.70"," 0.50"," 0.28","11.12","22.66"," 9.80","24.41"," 6.17"," 4.08"," 6.50"," 9.55"," 4.23","75.59"
"NSE.FMCG"," 0.82"," 0.95"," 0.38"," 9.95"," 8.20"," 7.69"," 9.26","38.95"," 4.98"," 5.81"," 6.63"," 6.37","61.05"
"NSE.IT"," 1.03"," 1.06"," 0.39"," 6.78"," 5.91"," 5.78"," 6.59"," 5.62","50.26"," 4.76"," 6.21"," 5.61","49.74"
"NSE.MED"," 0.65"," 0.53"," 0.37","10.38"," 9.12"," 8.90"," 9.42"," 5.36"," 3.82","35.79"," 9.87"," 5.79","64.21"
"NSE.MET"," 1.00"," 0.73"," 0.36","11.76","11.14","12.41","11.14"," 5.12"," 4.33"," 7.98","28.75"," 5.28","71.25"
"NSE.PHARMA"," 0.99"," 0.89"," 0.39"," 8.24"," 6.32"," 7.48"," 6.93"," 7.04"," 5.30"," 6.75"," 7.43","42.22","57.78"
"TO others"," 27.35"," 29.62","  7.29"," 82.23"," 88.69"," 74.25"," 92.28"," 50.80"," 37.11"," 55.31"," 75.78"," 43.97","664.67"
"Inc. own","100.82","100.98"," 96.12","109.29","113.66","103.48","116.69"," 89.75"," 87.38"," 91.10","104.54"," 86.19","TCI"
"NET","  0.82","  0.98"," -3.88","  9.29"," 13.66","  3.48"," 16.69","-10.25","-12.62"," -8.90","  4.54","-13.81"," 55.39"
"NPDC"," 3.00"," 5.00","11.00"," 2.00"," 2.00"," 5.00"," 2.00"," 7.00","10.00"," 6.00"," 4.00"," 9.00",""
