"","Demand_Shocks","Supply_Shocks","Risk_Shocks","NSE.AUTO","NSE.BANK","NSE.ENERGY","NSE.FIN","NSE.FMCG","NSE.IT","NSE.MED","NSE.MET","NSE.PHARMA","FROM others"
"Demand_Shocks","92.54"," 6.60"," 0.00"," 0.03"," 0.13"," 0.06"," 0.11"," 0.25"," 0.01"," 0.12"," 0.01"," 0.13"," 7.46"
"Supply_Shocks"," 6.33","92.26"," 0.66"," 0.15"," 0.22"," 0.02"," 0.13"," 0.08"," 0.02"," 0.09"," 0.01"," 0.02"," 7.74"
"Risk_Shocks"," 0.00"," 0.63","98.99"," 0.01"," 0.12"," 0.01"," 0.07"," 0.10"," 0.03"," 0.01"," 0.01"," 0.01"," 1.01"
"NSE.AUTO"," 0.65"," 0.10"," 0.01","25.22","12.17","10.48","12.66"," 7.54"," 5.22"," 8.60","11.18"," 6.17","74.78"
"NSE.BANK"," 0.85"," 0.08"," 0.02","11.08","23.38","10.50","22.11"," 6.05"," 4.69"," 6.92","10.11"," 4.19","76.62"
"NSE.ENERGY"," 0.94"," 0.06"," 0.02","10.64","11.59","25.52","12.22"," 6.83"," 5.33"," 8.02","12.70"," 6.14","74.48"
"NSE.FIN"," 0.84"," 0.06"," 0.02","11.13","21.39","10.71","22.56"," 6.62"," 5.24"," 6.89","10.10"," 4.44","77.44"
"NSE.FMCG"," 0.94"," 0.08"," 0.01","10.12"," 8.80"," 9.09"," 9.96","33.79"," 5.72"," 6.47"," 7.29"," 7.72","66.21"
"NSE.IT"," 1.41"," 0.06"," 0.02"," 8.05"," 7.86"," 8.19"," 9.05"," 6.60","38.60"," 5.63"," 7.93"," 6.61","61.40"
"NSE.MED"," 0.50"," 0.06"," 0.01","10.86"," 9.72"," 9.97"," 9.98"," 6.05"," 4.62","31.62","10.63"," 5.97","68.38"
"NSE.MET"," 1.03"," 0.21"," 0.02","11.53","11.39","12.90","11.78"," 5.56"," 5.27"," 8.59","26.01"," 5.72","73.99"
"NSE.PHARMA"," 0.92"," 0.03"," 0.00"," 9.10"," 6.71"," 8.87"," 7.35"," 8.46"," 6.28"," 6.99"," 8.17","37.09","62.91"
"TO others"," 14.42","  7.97","  0.79"," 82.71"," 90.11"," 80.80"," 95.43"," 54.16"," 42.43"," 58.34"," 78.13"," 47.13","652.42"
"Inc. own","106.96","100.23"," 99.79","107.93","113.49","106.32","117.99"," 87.94"," 81.03"," 89.96","104.14"," 84.22","TCI"
"NET","  6.96","  0.23"," -0.21","  7.93"," 13.49","  6.32"," 17.99","-12.06","-18.97","-10.04","  4.14","-15.78"," 54.37"
"NPDC"," 1.00"," 6.00"," 8.00"," 3.00"," 2.00"," 6.00"," 1.00"," 7.00","10.00"," 6.00"," 7.00"," 9.00",""
